Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
18,DSATUR Coloring,71,0.03573274612426758,0.0
19,DSATUR Coloring,71,0.035463809967041016,0.0
20,DSATUR Coloring,71,0.03509974479675293,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,71,0.6028978824615479,0.00390625
2,Genetic Algorithm,71,0.6091198921203613,0.0
3,Genetic Algorithm,71,0.602670431137085,0.0
4,Genetic Algorithm,71,0.6077954769134521,0.0
5,Genetic Algorithm,71,0.6096961498260498,0.0
6,Genetic Algorithm,71,0.5976665019989014,0.0
7,Genetic Algorithm,71,0.6054973602294922,0.0
8,Genetic Algorithm,71,0.6065065860748291,0.0
9,Genetic Algorithm,71,0.6126117706298828,0.0
10,Genetic Algorithm,71,0.6108877658843994,0.0
11,Genetic Algorithm,71,0.61470627784729,0.0
12,Genetic Algorithm,71,0.60091233253479,0.0
13,Genetic Algorithm,71,0.6102066040039062,0.0
14,Genetic Algorithm,71,0.6114251613616943,0.0
15,Genetic Algorithm,71,0.6148123741149902,0.0
16,Genetic Algorithm,71,0.6166973114013672,0.0
17,Genetic Algorithm,71,0.6093404293060303,0.0
18,Genetic Algorithm,71,0.6583802700042725,0.0
19,Genetic Algorithm,71,0.6143908500671387,0.0
20,Genetic Algorithm,71,0.6130051612854004,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,65,10.516852140426636,2.08203125
2,POP2 Algorithm,65,10.55154538154602,0.18359375
3,POP2 Algorithm,65,10.218861103057861,0.25390625
4,POP2 Algorithm,65,10.249092817306519,-4.19921875
5,POP2 Algorithm,65,10.283007383346558,2.15234375
6,POP2 Algorithm,65,10.27687692642212,0.125
7,POP2 Algorithm,65,10.215075016021729,0.0
8,POP2 Algorithm,65,10.204344987869263,0.24609375
9,POP2 Algorithm,65,10.275270223617554,0.0
10,POP2 Algorithm,65,10.240665912628174,-3.0234375
11,POP2 Algorithm,65,10.314977645874023,2.65234375
12,POP2 Algorithm,65,10.332378625869751,0.125
13,POP2 Algorithm,65,10.649681329727173,0.0
14,POP2 Algorithm,65,10.455657720565796,0.0
15,POP2 Algorithm,65,10.472952127456665,0.0
16,POP2 Algorithm,65,10.325397729873657,0.0
17,POP2 Algorithm,65,10.961999654769897,-2.77734375
18,POP2 Algorithm,65,10.288167238235474,2.65234375
19,POP2 Algorithm,65,10.297574043273926,0.125
20,POP2 Algorithm,65,10.346455574035645,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,72,0.004787445068359375,0.0
Worst,Greedy Coloring,72,0.006642341613769531,0.0
Best,DSATUR Coloring,71,0.03509974479675293,0.0
Worst,DSATUR Coloring,71,0.037259817123413086,0.0
Best,Genetic Algorithm,71,0.5976665019989014,0.0
Worst,Genetic Algorithm,71,0.6583802700042725,0.0
Best,POP2 Algorithm,65,10.204344987869263,0.24609375
Worst,POP2 Algorithm,65,10.961999654769897,-2.77734375
Average,Greedy Coloring,72.0,0.0058,0.0
Average,DSATUR Coloring,71.0,0.0361,0.0
Average,Genetic Algorithm,71.0,0.6115,0.0002
Average,POP2 Algorithm,65.0,10.3738,0.0299
End,File: DSJC500.5.col,---,---,---
Header,File: DSJC500.9.col,,,
1,Greedy Coloring,175,0.00986790657043457,0.0
2,Greedy Coloring,175,0.009932994842529297,0.0
3,Greedy Coloring,175,0.010021209716796875,0.0
4,Greedy Coloring,175,0.009309768676757812,0.0
5,Greedy Coloring,175,0.009374141693115234,0.0
6,Greedy Coloring,175,0.009982109069824219,0.0
7,Greedy Coloring,175,0.00997018814086914,0.0
8,Greedy Coloring,175,0.010124921798706055,0.0
9,Greedy Coloring,175,0.00959014892578125,0.0
10,Greedy Coloring,175,0.008852481842041016,0.0
11,Greedy Coloring,175,0.009610176086425781,0.0
12,Greedy Coloring,175,0.010195016860961914,0.0
13,Greedy Coloring,175,0.010108232498168945,0.0
14,Greedy Coloring,175,0.009019136428833008,0.0
15,Greedy Coloring,175,0.010228395462036133,0.0
16,Greedy Coloring,175,0.010137319564819336,0.0
17,Greedy Coloring,175,0.009886503219604492,0.0
18,Greedy Coloring,175,0.009516239166259766,0.0
19,Greedy Coloring,175,0.010248899459838867,0.0
20,Greedy Coloring,175,0.00971531867980957,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,169,0.04718494415283203,0.0
2,DSATUR Coloring,169,0.04791975021362305,0.0
3,DSATUR Coloring,169,0.05019426345825195,0.0
4,DSATUR Coloring,169,0.05047941207885742,0.0
5,DSATUR Coloring,169,0.04798603057861328,0.0
6,DSATUR Coloring,169,0.04863691329956055,0.0
7,DSATUR Coloring,169,0.04831886291503906,0.0
8,DSATUR Coloring,169,0.04772806167602539,0.0
9,DSATUR Coloring,169,0.04566192626953125,0.0
10,DSATUR Coloring,169,0.04654884338378906,0.0
11,DSATUR Coloring,169,0.04648089408874512,0.0
12,DSATUR Coloring,169,0.05047488212585449,0.0
13,DSATUR Coloring,169,0.04593825340270996,0.0
14,DSATUR Coloring,169,0.04604816436767578,0.0
15,DSATUR Coloring,169,0.0452728271484375,0.0
16,DSATUR Coloring,169,0.04773068428039551,0.0
17,DSATUR Coloring,169,0.04604482650756836,0.0
18,DSATUR Coloring,169,0.04605364799499512,0.0
19,DSATUR Coloring,169,0.04660606384277344,0.0
20,DSATUR Coloring,169,0.04708576202392578,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,165,1.0642225742340088,0.0
2,Genetic Algorithm,166,0.9889285564422607,0.0
3,Genetic Algorithm,168,1.0048470497131348,0.0
4,Genetic Algorithm,166,0.9900898933410645,0.0
5,Genetic Algorithm,166,1.1044058799743652,0.0
6,Genetic Algorithm,167,0.994915246963501,0.0
7,Genetic Algorithm,165,1.0021162033081055,0.0
8,Genetic Algorithm,161,1.1976866722106934,0.0
9,Genetic Algorithm,165,1.0849361419677734,0.0
10,Genetic Algorithm,166,1.0667779445648193,0.0
11,Genetic Algorithm,163,1.1479015350341797,0.0
12,Genetic Algorithm,167,1.0050342082977295,0.0
13,Genetic Algorithm,166,1.067187786102295,0.0
14,Genetic Algorithm,165,1.0056354999542236,0.0
15,Genetic Algorithm,168,1.0144109725952148,0.0
16,Genetic Algorithm,165,1.0034558773040771,0.0
17,Genetic Algorithm,164,1.000307321548462,0.0
18,Genetic Algorithm,170,0.9945452213287354,0.0
19,Genetic Algorithm,167,0.9885780811309814,0.0
20,Genetic Algorithm,168,0.97745680809021,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,170,17.477264642715454,9.80078125
2,POP2 Algorithm,170,17.54252791404724,-12.3671875
3,POP2 Algorithm,170,17.464895486831665,9.59375
4,POP2 Algorithm,170,18.772122383117676,0.61328125
5,POP2 Algorithm,170,18.478055238723755,-1.7421875
6,POP2 Algorithm,170,17.815619945526123,-8.68359375
7,POP2 Algorithm,170,17.52018713951111,10.14453125
8,POP2 Algorithm,170,17.522334337234497,-0.1875
9,POP2 Algorithm,170,18.633789539337158,0.78125
10,POP2 Algorithm,170,17.41408133506775,-10.89453125
11,POP2 Algorithm,170,17.601203203201294,14.03125
12,POP2 Algorithm,170,17.373775482177734,-0.953125
13,POP2 Algorithm,170,17.208551168441772,1.9765625
14,POP2 Algorithm,170,17.032344341278076,-14.0390625
15,POP2 Algorithm,170,18.91050362586975,12.59765625
16,POP2 Algorithm,170,17.51138162612915,0.89453125
17,POP2 Algorithm,170,17.827680349349976,0.7265625
18,POP2 Algorithm,170,17.603691816329956,-14.28125
19,POP2 Algorithm,170,17.700363636016846,13.66015625
20,POP2 Algorithm,170,19.04570508003235,-1.98828125
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,175,0.008852481842041016,0.0
Worst,Greedy Coloring,175,0.010248899459838867,0.0
Best,DSATUR Coloring,169,0.0452728271484375,0.0
Worst,DSATUR Coloring,169,0.05047941207885742,0.0
Best,Genetic Algorithm,161,1.1976866722106934,0.0
Worst,Genetic Algorithm,170,0.9945452213287354,0.0
Best,POP2 Algorithm,170,17.032344341278076,-14.0390625
Worst,POP2 Algorithm,170,19.04570508003235,-1.98828125
Average,Greedy Coloring,175.0,0.0098,0.0
Average,DSATUR Coloring,169.0,0.0474,0.0
Average,Genetic Algorithm,165.9,1.0352,0.0
Average,POP2 Algorithm,170.0,17.8228,0.4842
End,File: DSJC500.9.col,---,---,---
