Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
20,Genetic Algorithm,8,0.06633496284484863,0.0
21,Genetic Algorithm,8,0.06650876998901367,0.0
22,Genetic Algorithm,8,0.06640791893005371,0.0
23,Genetic Algorithm,8,0.06609106063842773,0.0
24,Genetic Algorithm,8,0.06635499000549316,0.0
25,Genetic Algorithm,8,0.06654047966003418,0.0
26,Genetic Algorithm,8,0.06628942489624023,0.0
27,Genetic Algorithm,8,0.06651091575622559,0.0
28,Genetic Algorithm,8,0.0663003921508789,0.0
29,Genetic Algorithm,8,0.06652688980102539,0.0
30,Genetic Algorithm,8,0.06630611419677734,0.0
31,Genetic Algorithm,8,0.06617593765258789,0.0
32,Genetic Algorithm,8,0.06593775749206543,0.0
33,Genetic Algorithm,8,0.06648445129394531,0.0
34,Genetic Algorithm,8,0.06635737419128418,0.0
35,Genetic Algorithm,8,0.06629180908203125,0.0
36,Genetic Algorithm,8,0.06663656234741211,0.0
37,Genetic Algorithm,8,0.06616377830505371,0.0
38,Genetic Algorithm,8,0.06606435775756836,0.0
39,Genetic Algorithm,8,0.06634187698364258,0.0
40,Genetic Algorithm,8,0.06609392166137695,0.0
41,Genetic Algorithm,8,0.0663752555847168,0.0
42,Genetic Algorithm,8,0.06658482551574707,0.0
43,Genetic Algorithm,8,0.06618547439575195,0.0
44,Genetic Algorithm,8,0.06652069091796875,0.0
45,Genetic Algorithm,8,0.07930803298950195,0.0
46,Genetic Algorithm,8,0.06770563125610352,0.0
47,Genetic Algorithm,8,0.06605982780456543,0.0
48,Genetic Algorithm,8,0.0662221908569336,0.0
49,Genetic Algorithm,8,0.06645798683166504,0.0
50,Genetic Algorithm,8,0.06612873077392578,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,6,0.020993471145629883,0.0
2,POP2 Algorithm,6,0.02097034454345703,0.0
3,POP2 Algorithm,6,0.021343231201171875,0.0
4,POP2 Algorithm,6,0.02096700668334961,0.0
5,POP2 Algorithm,6,0.021381139755249023,0.0
6,POP2 Algorithm,6,0.02191162109375,0.0
7,POP2 Algorithm,6,0.02112436294555664,0.0
8,POP2 Algorithm,6,0.021197795867919922,0.0
9,POP2 Algorithm,6,0.021338462829589844,0.0
10,POP2 Algorithm,6,0.021085739135742188,0.0
11,POP2 Algorithm,6,0.020639419555664062,0.0
12,POP2 Algorithm,6,0.021251678466796875,0.0
13,POP2 Algorithm,6,0.02115464210510254,0.0
14,POP2 Algorithm,6,0.021608829498291016,0.0
15,POP2 Algorithm,6,0.021045207977294922,0.0
16,POP2 Algorithm,6,0.020967721939086914,0.0
17,POP2 Algorithm,6,0.020956754684448242,0.0
18,POP2 Algorithm,6,0.02098846435546875,0.0
19,POP2 Algorithm,6,0.021236419677734375,0.0
20,POP2 Algorithm,6,0.02132272720336914,0.0
21,POP2 Algorithm,6,0.020949125289916992,0.0
22,POP2 Algorithm,6,0.02123260498046875,0.0
23,POP2 Algorithm,6,0.021144628524780273,0.0
24,POP2 Algorithm,6,0.02109074592590332,0.0
25,POP2 Algorithm,6,0.020932674407958984,0.0
26,POP2 Algorithm,6,0.021038293838500977,0.0
27,POP2 Algorithm,6,0.020956754684448242,0.0
28,POP2 Algorithm,6,0.021094322204589844,0.0
29,POP2 Algorithm,6,0.021986007690429688,0.0
30,POP2 Algorithm,6,0.021551132202148438,0.0
31,POP2 Algorithm,6,0.022780895233154297,0.0
32,POP2 Algorithm,6,0.021087646484375,0.0
33,POP2 Algorithm,6,0.02104663848876953,0.0
34,POP2 Algorithm,6,0.02094888687133789,0.0
35,POP2 Algorithm,6,0.0223238468170166,0.0
36,POP2 Algorithm,6,0.02114105224609375,0.0
37,POP2 Algorithm,6,0.021535634994506836,0.0
38,POP2 Algorithm,6,0.021566152572631836,0.0
39,POP2 Algorithm,6,0.021035432815551758,0.0
40,POP2 Algorithm,6,0.02122211456298828,0.0
41,POP2 Algorithm,6,0.02096104621887207,0.0
42,POP2 Algorithm,6,0.02127861976623535,0.0
43,POP2 Algorithm,6,0.02087855339050293,0.0
44,POP2 Algorithm,6,0.021648168563842773,0.0
45,POP2 Algorithm,6,0.021260499954223633,0.0
46,POP2 Algorithm,6,0.021075725555419922,0.0
47,POP2 Algorithm,6,0.021332502365112305,0.0
48,POP2 Algorithm,6,0.021622657775878906,0.0
49,POP2 Algorithm,6,0.020777463912963867,0.0
50,POP2 Algorithm,6,0.021552324295043945,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,8,0.0001518726348876953,0.0
Worst,Greedy Coloring,8,0.00038313865661621094,0.0
Best,DSATUR Coloring,7,0.0016412734985351562,0.0
Worst,DSATUR Coloring,7,0.002149343490600586,0.0
Best,Genetic Algorithm,8,0.06593775749206543,0.0
Worst,Genetic Algorithm,8,0.07930803298950195,0.0
Best,POP2 Algorithm,6,0.020639419555664062,0.0
Worst,POP2 Algorithm,6,0.022780895233154297,0.0
Average,Greedy Coloring,8.0,0.0002,0.0
Average,DSATUR Coloring,7.0,0.0019,0.0
Average,Genetic Algorithm,8.0,0.0668,0.0032
Average,POP2 Algorithm,6.0,0.0213,0.0
End,File: DSJC125.1.col,---,---,---
Header,File: DSJC125.5.col,,,
1,Greedy Coloring,26,0.00037217140197753906,0.0
2,Greedy Coloring,26,0.0003676414489746094,0.0
3,Greedy Coloring,26,0.0003731250762939453,0.0
4,Greedy Coloring,26,0.0003924369812011719,0.0
5,Greedy Coloring,26,0.0004999637603759766,0.0
6,Greedy Coloring,26,0.0004532337188720703,0.0
7,Greedy Coloring,26,0.00045871734619140625,0.0
8,Greedy Coloring,26,0.00046372413635253906,0.0
9,Greedy Coloring,26,0.00046539306640625,0.0
10,Greedy Coloring,26,0.0004966259002685547,0.0
11,Greedy Coloring,26,0.00037860870361328125,0.0
12,Greedy Coloring,26,0.00036144256591796875,0.0
13,Greedy Coloring,26,0.00035858154296875,0.0
14,Greedy Coloring,26,0.0003566741943359375,0.0
15,Greedy Coloring,26,0.00037932395935058594,0.0
16,Greedy Coloring,26,0.0005018711090087891,0.0
17,Greedy Coloring,26,0.00044918060302734375,0.0
18,Greedy Coloring,26,0.0003695487976074219,0.0
19,Greedy Coloring,26,0.0004544258117675781,0.0
20,Greedy Coloring,26,0.0004527568817138672,0.0
21,Greedy Coloring,26,0.0005028247833251953,0.0
22,Greedy Coloring,26,0.0004923343658447266,0.0
23,Greedy Coloring,26,0.00044727325439453125,0.0
24,Greedy Coloring,26,0.0004520416259765625,0.0
25,Greedy Coloring,26,0.00044608116149902344,0.0
26,Greedy Coloring,26,0.0004172325134277344,0.0
27,Greedy Coloring,26,0.0004611015319824219,0.0
28,Greedy Coloring,26,0.0004956722259521484,0.0
29,Greedy Coloring,26,0.00046253204345703125,0.0
30,Greedy Coloring,26,0.000461578369140625,0.0
31,Greedy Coloring,26,0.0004642009735107422,0.0
32,Greedy Coloring,26,0.0004565715789794922,0.0
33,Greedy Coloring,26,0.0004668235778808594,0.0
34,Greedy Coloring,26,0.0004923343658447266,0.0
35,Greedy Coloring,26,0.0004544258117675781,0.0
36,Greedy Coloring,26,0.0009279251098632812,0.0
37,Greedy Coloring,26,0.0003628730773925781,0.0
38,Greedy Coloring,26,0.00038433074951171875,0.0
39,Greedy Coloring,26,0.000408172607421875,0.0
40,Greedy Coloring,26,0.0004963874816894531,0.0
41,Greedy Coloring,26,0.00045418739318847656,0.0
42,Greedy Coloring,26,0.00044727325439453125,0.0
43,Greedy Coloring,26,0.0004520416259765625,0.0
44,Greedy Coloring,26,0.0004596710205078125,0.0
45,Greedy Coloring,26,0.0003905296325683594,0.0
46,Greedy Coloring,26,0.00045561790466308594,0.0
47,Greedy Coloring,26,0.0004532337188720703,0.0
48,Greedy Coloring,26,0.0004513263702392578,0.0
49,Greedy Coloring,26,0.00045180320739746094,0.0
50,Greedy Coloring,26,0.00045299530029296875,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,23,0.0026972293853759766,0.0
2,DSATUR Coloring,23,0.0024871826171875,0.0
3,DSATUR Coloring,23,0.0024161338806152344,0.0
4,DSATUR Coloring,23,0.0023376941680908203,0.0
5,DSATUR Coloring,23,0.002206087112426758,0.0
6,DSATUR Coloring,23,0.002366781234741211,0.0
7,DSATUR Coloring,23,0.0023555755615234375,0.0
8,DSATUR Coloring,23,0.002318859100341797,0.0
9,DSATUR Coloring,23,0.0023627281188964844,0.0
10,DSATUR Coloring,23,0.0024213790893554688,0.0
11,DSATUR Coloring,23,0.0023996829986572266,0.0
12,DSATUR Coloring,23,0.002519369125366211,0.0
13,DSATUR Coloring,23,0.002354860305786133,0.0
14,DSATUR Coloring,23,0.0023136138916015625,0.0
15,DSATUR Coloring,23,0.0022132396697998047,0.0
16,DSATUR Coloring,23,0.002720355987548828,0.0
17,DSATUR Coloring,23,0.002382040023803711,0.0
18,DSATUR Coloring,23,0.0022101402282714844,0.0
19,DSATUR Coloring,23,0.0024824142456054688,0.0
20,DSATUR Coloring,23,0.002302885055541992,0.0
21,DSATUR Coloring,23,0.0022933483123779297,0.0
22,DSATUR Coloring,23,0.0023474693298339844,0.0
23,DSATUR Coloring,23,0.0023949146270751953,0.0
24,DSATUR Coloring,23,0.002438068389892578,0.0
25,DSATUR Coloring,23,0.002496004104614258,0.0
26,DSATUR Coloring,23,0.0024900436401367188,0.0
27,DSATUR Coloring,23,0.0023229122161865234,0.0
28,DSATUR Coloring,23,0.0022029876708984375,0.0
29,DSATUR Coloring,23,0.0024743080139160156,0.0
30,DSATUR Coloring,23,0.0024726390838623047,0.0
31,DSATUR Coloring,23,0.002401590347290039,0.0
32,DSATUR Coloring,23,0.002355337142944336,0.0
33,DSATUR Coloring,23,0.0023987293243408203,0.0
34,DSATUR Coloring,23,0.0022246837615966797,0.0
35,DSATUR Coloring,23,0.0022211074829101562,0.0
36,DSATUR Coloring,23,0.002409696578979492,0.0
37,DSATUR Coloring,23,0.002371072769165039,0.0
